[34m[1mwandb[0m: Detected [huggingface_hub.inference, openai] in use.
[34m[1mwandb[0m: Use W&B Weave for improved LLM call tracing. Install Weave with `pip install weave` then add `import weave` to the top of your script.
[34m[1mwandb[0m: For more information, check out the docs at: https://weave-docs.wandb.ai/
100% 125/125 [34:29<00:00, 16.55s/it]
{'loss': -0.0001, 'grad_norm': 0.6580637097358704, 'learning_rate': 1.936e-05, 'num_tokens': 19261.0, 'completions/mean_length': 144.3625, 'completions/min_length': 63.0, 'completions/max_length': 274.6, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 144.3625, 'completions/min_terminated_length': 63.0, 'completions/max_terminated_length': 274.6, 'rewards/correctness_reward_func/mean': 0.625, 'rewards/correctness_reward_func/std': 0.7415650486946106, 'rewards/format_reward_func/mean': 0.4625, 'rewards/format_reward_func/std': 0.08062257766723632, 'reward': 1.0875, 'reward_std': 0.4338216096162796, 'frac_reward_zero_std': 0.55, 'kl': 2.373653283029853e-05, 'entropy': 0.5744311168789864, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.04}
{'loss': 0.0044, 'grad_norm': 0.5510183572769165, 'learning_rate': 1.8560000000000002e-05, 'num_tokens': 36465.0, 'completions/mean_length': 124.35, 'completions/min_length': 46.4, 'completions/max_length': 270.8, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 124.35, 'completions/min_terminated_length': 46.4, 'completions/max_terminated_length': 270.8, 'rewards/correctness_reward_func/mean': 0.425, 'rewards/correctness_reward_func/std': 0.8105014801025391, 'rewards/format_reward_func/mean': 0.4625, 'rewards/format_reward_func/std': 0.11831300854682922, 'reward': 0.8875, 'reward_std': 0.6254176735877991, 'frac_reward_zero_std': 0.25, 'kl': 8.551480041205651e-05, 'entropy': 0.5903591617941857, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.08}
{'loss': 0.065, 'grad_norm': 0.4039112627506256, 'learning_rate': 1.7760000000000003e-05, 'num_tokens': 54404.0, 'completions/mean_length': 127.7875, 'completions/min_length': 67.8, 'completions/max_length': 224.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 127.7875, 'completions/min_terminated_length': 67.8, 'completions/max_terminated_length': 224.0, 'rewards/correctness_reward_func/mean': 0.525, 'rewards/correctness_reward_func/std': 0.8290494203567504, 'rewards/format_reward_func/mean': 0.475, 'rewards/format_reward_func/std': 0.1, 'reward': 1.0, 'reward_std': 0.6181457281112671, 'frac_reward_zero_std': 0.45, 'kl': 0.00015619343630532967, 'entropy': 0.593888446688652, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.12}
{'loss': 0.009, 'grad_norm': 0.4954967796802521, 'learning_rate': 1.696e-05, 'num_tokens': 71679.0, 'completions/mean_length': 125.2875, 'completions/min_length': 60.0, 'completions/max_length': 249.4, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 125.2875, 'completions/min_terminated_length': 60.0, 'completions/max_terminated_length': 249.4, 'rewards/correctness_reward_func/mean': 0.675, 'rewards/correctness_reward_func/std': 0.9270939588546753, 'rewards/format_reward_func/mean': 0.49375, 'rewards/format_reward_func/std': 0.025, 'reward': 1.16875, 'reward_std': 0.47090394496917726, 'frac_reward_zero_std': 0.55, 'kl': 0.00019842814290313982, 'entropy': 0.4721913397312164, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.16}
{'loss': 0.0449, 'grad_norm': 0.5887735486030579, 'learning_rate': 1.616e-05, 'num_tokens': 89594.0, 'completions/mean_length': 131.6875, 'completions/min_length': 61.4, 'completions/max_length': 266.2, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 131.6875, 'completions/min_terminated_length': 61.4, 'completions/max_terminated_length': 266.2, 'rewards/correctness_reward_func/mean': 0.65, 'rewards/correctness_reward_func/std': 0.9381751418113708, 'rewards/format_reward_func/mean': 0.4625, 'rewards/format_reward_func/std': 0.09472136199474335, 'reward': 1.1125, 'reward_std': 0.6282308340072632, 'frac_reward_zero_std': 0.3, 'kl': 0.00027733335991797503, 'entropy': 0.7567379102110863, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.2}
{'loss': 0.0073, 'grad_norm': 0.5011023283004761, 'learning_rate': 1.5360000000000002e-05, 'num_tokens': 105989.0, 'completions/mean_length': 113.9375, 'completions/min_length': 52.4, 'completions/max_length': 247.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 113.9375, 'completions/min_terminated_length': 52.4, 'completions/max_terminated_length': 247.0, 'rewards/correctness_reward_func/mean': 0.625, 'rewards/correctness_reward_func/std': 0.8357014417648315, 'rewards/format_reward_func/mean': 0.46875, 'rewards/format_reward_func/std': 0.07446779310703278, 'reward': 1.09375, 'reward_std': 0.6900405406951904, 'frac_reward_zero_std': 0.35, 'kl': 0.0003523147963278461, 'entropy': 0.5753237709403038, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.24}
{'loss': 0.0243, 'grad_norm': 0.5721930265426636, 'learning_rate': 1.4560000000000001e-05, 'num_tokens': 124787.0, 'completions/mean_length': 141.775, 'completions/min_length': 50.2, 'completions/max_length': 293.2, 'completions/clipped_ratio': 0.0125, 'completions/mean_terminated_length': 137.4358337402344, 'completions/min_terminated_length': 50.2, 'completions/max_terminated_length': 284.4, 'rewards/correctness_reward_func/mean': 0.275, 'rewards/correctness_reward_func/std': 0.6887634992599487, 'rewards/format_reward_func/mean': 0.46875, 'rewards/format_reward_func/std': 0.09031128883361816, 'reward': 0.74375, 'reward_std': 0.47513883113861083, 'frac_reward_zero_std': 0.4, 'kl': 0.00037122309804544785, 'entropy': 0.5374581918120385, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.28}
{'loss': 0.0389, 'grad_norm': 0.518108606338501, 'learning_rate': 1.376e-05, 'num_tokens': 142946.0, 'completions/mean_length': 127.4875, 'completions/min_length': 51.4, 'completions/max_length': 278.4, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 127.4875, 'completions/min_terminated_length': 51.4, 'completions/max_terminated_length': 278.4, 'rewards/correctness_reward_func/mean': 0.45, 'rewards/correctness_reward_func/std': 0.813975739479065, 'rewards/format_reward_func/mean': 0.46875, 'rewards/format_reward_func/std': 0.125, 'reward': 0.91875, 'reward_std': 0.5793078899383545, 'frac_reward_zero_std': 0.4, 'kl': 0.0003780889281188138, 'entropy': 0.6076099917292594, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.32}
{'loss': 0.0068, 'grad_norm': 0.4981004297733307, 'learning_rate': 1.2960000000000001e-05, 'num_tokens': 161937.0, 'completions/mean_length': 139.0875, 'completions/min_length': 70.2, 'completions/max_length': 282.4, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 139.0875, 'completions/min_terminated_length': 70.2, 'completions/max_terminated_length': 282.4, 'rewards/correctness_reward_func/mean': 0.2, 'rewards/correctness_reward_func/std': 0.5978711724281311, 'rewards/format_reward_func/mean': 0.46875, 'rewards/format_reward_func/std': 0.10915650427341461, 'reward': 0.66875, 'reward_std': 0.36033769845962527, 'frac_reward_zero_std': 0.55, 'kl': 0.00047058882628334684, 'entropy': 0.6866166099905968, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.36}
{'loss': 0.0273, 'grad_norm': 0.2909869849681854, 'learning_rate': 1.216e-05, 'num_tokens': 181130.0, 'completions/mean_length': 140.9125, 'completions/min_length': 63.4, 'completions/max_length': 281.4, 'completions/clipped_ratio': 0.0125, 'completions/mean_terminated_length': 136.54666748046876, 'completions/min_terminated_length': 63.4, 'completions/max_terminated_length': 272.0, 'rewards/correctness_reward_func/mean': 0.625, 'rewards/correctness_reward_func/std': 0.8942956328392029, 'rewards/format_reward_func/mean': 0.46875, 'rewards/format_reward_func/std': 0.06972136199474335, 'reward': 1.09375, 'reward_std': 0.538953959941864, 'frac_reward_zero_std': 0.35, 'kl': 0.0004728506653918885, 'entropy': 0.5553058341145516, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.4}
{'loss': 0.022, 'grad_norm': 0.46685606241226196, 'learning_rate': 1.136e-05, 'num_tokens': 199071.0, 'completions/mean_length': 126.9625, 'completions/min_length': 49.0, 'completions/max_length': 268.4, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 126.9625, 'completions/min_terminated_length': 49.0, 'completions/max_terminated_length': 268.4, 'rewards/correctness_reward_func/mean': 0.425, 'rewards/correctness_reward_func/std': 0.7466897130012512, 'rewards/format_reward_func/mean': 0.46875, 'rewards/format_reward_func/std': 0.06972136199474335, 'reward': 0.89375, 'reward_std': 0.47513883113861083, 'frac_reward_zero_std': 0.4, 'kl': 0.0005882267127162777, 'entropy': 0.5395887807011605, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.44}
