[34m[1mwandb[0m: Detected [huggingface_hub.inference, openai] in use.
[34m[1mwandb[0m: Use W&B Weave for improved LLM call tracing. Install Weave with `pip install weave` then add `import weave` to the top of your script.
[34m[1mwandb[0m: For more information, check out the docs at: https://weave-docs.wandb.ai/
                                      
{'loss': 0.0, 'grad_norm': 0.6396470069885254, 'learning_rate': 1.0000000000000002e-06, 'num_tokens': 20774.0, 'completions/mean_length': 155.775, 'completions/min_length': 80.2, 'completions/max_length': 290.8, 'completions/clipped_ratio': 0.0125, 'completions/mean_terminated_length': 151.175, 'completions/min_terminated_length': 80.2, 'completions/max_terminated_length': 240.4, 'rewards/correctness_reward_func/mean': 0.35, 'rewards/correctness_reward_func/std': 0.39642446041107177, 'rewards/format_reward_func/mean': 0.46875, 'rewards/format_reward_func/std': 0.09331300854682922, 'reward': 0.81875, 'reward_std': 0.3698976397514343, 'frac_reward_zero_std': 0.5, 'kl': 0.0004816351251065498, 'entropy': 0.600670313462615, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.02}
{'loss': 0.0, 'grad_norm': 0.5932621955871582, 'learning_rate': 2.25e-06, 'num_tokens': 37833.0, 'completions/mean_length': 124.3375, 'completions/min_length': 61.8, 'completions/max_length': 233.4, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 124.3375, 'completions/min_terminated_length': 61.8, 'completions/max_terminated_length': 233.4, 'rewards/correctness_reward_func/mean': 0.575, 'rewards/correctness_reward_func/std': 0.770370876789093, 'rewards/format_reward_func/mean': 0.48125, 'rewards/format_reward_func/std': 0.075, 'reward': 1.05625, 'reward_std': 0.6330617904663086, 'frac_reward_zero_std': 0.2, 'kl': 0.0005158896598004503, 'entropy': 0.5151859855279326, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.04}
{'loss': 0.0, 'grad_norm': 1.3945611715316772, 'learning_rate': 3.5e-06, 'num_tokens': 57074.0, 'completions/mean_length': 150.8125, 'completions/min_length': 45.0, 'completions/max_length': 298.8, 'completions/clipped_ratio': 0.025, 'completions/mean_terminated_length': 142.33392944335938, 'completions/min_terminated_length': 45.0, 'completions/max_terminated_length': 248.2, 'rewards/correctness_reward_func/mean': 0.225, 'rewards/correctness_reward_func/std': 0.5521374821662903, 'rewards/format_reward_func/mean': 0.41875, 'rewards/format_reward_func/std': 0.18450044393539428, 'reward': 0.64375, 'reward_std': 0.47721633315086365, 'frac_reward_zero_std': 0.2, 'kl': 0.0006387241786796949, 'entropy': 0.6238100830465555, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.06}
{'loss': 0.0, 'grad_norm': 1.5043562650680542, 'learning_rate': 4.75e-06, 'num_tokens': 74171.0, 'completions/mean_length': 122.0125, 'completions/min_length': 58.2, 'completions/max_length': 249.2, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 122.0125, 'completions/min_terminated_length': 58.2, 'completions/max_terminated_length': 249.2, 'rewards/correctness_reward_func/mean': 0.65, 'rewards/correctness_reward_func/std': 0.9541953563690185, 'rewards/format_reward_func/mean': 0.46875, 'rewards/format_reward_func/std': 0.09331300854682922, 'reward': 1.11875, 'reward_std': 0.7333621144294739, 'frac_reward_zero_std': 0.1, 'kl': 0.0005593770191808289, 'entropy': 0.6181478653103113, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.08}
{'loss': 0.0, 'grad_norm': 0.7157062888145447, 'learning_rate': 4.91304347826087e-06, 'num_tokens': 91272.0, 'completions/mean_length': 120.0625, 'completions/min_length': 61.4, 'completions/max_length': 227.8, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 120.0625, 'completions/min_terminated_length': 61.4, 'completions/max_terminated_length': 227.8, 'rewards/correctness_reward_func/mean': 0.55, 'rewards/correctness_reward_func/std': 0.7684154152870178, 'rewards/format_reward_func/mean': 0.475, 'rewards/format_reward_func/std': 0.08415650427341462, 'reward': 1.025, 'reward_std': 0.6384340167045593, 'frac_reward_zero_std': 0.3, 'kl': 0.000609102528915173, 'entropy': 0.5274058542214334, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.1}
{'loss': 0.0, 'grad_norm': 0.9198193550109863, 'learning_rate': 4.804347826086957e-06, 'num_tokens': 109265.0, 'completions/mean_length': 125.7125, 'completions/min_length': 61.8, 'completions/max_length': 283.8, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 125.7125, 'completions/min_terminated_length': 61.8, 'completions/max_terminated_length': 283.8, 'rewards/correctness_reward_func/mean': 0.45, 'rewards/correctness_reward_func/std': 0.7450696349143981, 'rewards/format_reward_func/mean': 0.45, 'rewards/format_reward_func/std': 0.08818264603614807, 'reward': 0.9, 'reward_std': 0.7377248287200928, 'frac_reward_zero_std': 0.0, 'kl': 0.0006314310770449083, 'entropy': 0.5977215182036162, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.12}
{'loss': 0.0, 'grad_norm': 0.8809491395950317, 'learning_rate': 4.695652173913044e-06, 'num_tokens': 127747.0, 'completions/mean_length': 141.125, 'completions/min_length': 70.2, 'completions/max_length': 282.8, 'completions/clipped_ratio': 0.0125, 'completions/mean_terminated_length': 136.6941680908203, 'completions/min_terminated_length': 70.2, 'completions/max_terminated_length': 237.0, 'rewards/correctness_reward_func/mean': 0.925, 'rewards/correctness_reward_func/std': 0.913975739479065, 'rewards/format_reward_func/mean': 0.4625, 'rewards/format_reward_func/std': 0.09472136199474335, 'reward': 1.3875, 'reward_std': 0.7842658281326294, 'frac_reward_zero_std': 0.2, 'kl': 0.0004649724184673687, 'entropy': 0.529095577262342, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.14}
{'loss': 0.0, 'grad_norm': 2.507896661758423, 'learning_rate': 4.586956521739131e-06, 'num_tokens': 144699.0, 'completions/mean_length': 120.5, 'completions/min_length': 54.0, 'completions/max_length': 240.4, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 120.5, 'completions/min_terminated_length': 54.0, 'completions/max_terminated_length': 240.4, 'rewards/correctness_reward_func/mean': 0.4, 'rewards/correctness_reward_func/std': 0.7928611874580384, 'rewards/format_reward_func/mean': 0.4625, 'rewards/format_reward_func/std': 0.07887786626815796, 'reward': 0.8625, 'reward_std': 0.5998930037021637, 'frac_reward_zero_std': 0.3, 'kl': 0.0005517295831850788, 'entropy': 0.5473395070061088, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.16}
{'loss': 0.0, 'grad_norm': 1.1012786626815796, 'learning_rate': 4.478260869565218e-06, 'num_tokens': 161524.0, 'completions/mean_length': 122.8125, 'completions/min_length': 65.4, 'completions/max_length': 232.6, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 122.8125, 'completions/min_terminated_length': 65.4, 'completions/max_terminated_length': 232.6, 'rewards/correctness_reward_func/mean': 0.6, 'rewards/correctness_reward_func/std': 0.8532488226890564, 'rewards/format_reward_func/mean': 0.4625, 'rewards/format_reward_func/std': 0.11531128883361816, 'reward': 1.0625, 'reward_std': 0.5236124143004417, 'frac_reward_zero_std': 0.3, 'kl': 0.0006127069310423394, 'entropy': 0.6896126016974449, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.18}
{'loss': 0.0, 'grad_norm': 0.5852110981941223, 'learning_rate': 4.369565217391305e-06, 'num_tokens': 180525.0, 'completions/mean_length': 140.5125, 'completions/min_length': 54.6, 'completions/max_length': 308.4, 'completions/clipped_ratio': 0.0125, 'completions/mean_terminated_length': 136.13250122070312, 'completions/min_terminated_length': 54.6, 'completions/max_terminated_length': 261.2, 'rewards/correctness_reward_func/mean': 0.525, 'rewards/correctness_reward_func/std': 0.8443752527236938, 'rewards/format_reward_func/mean': 0.45625, 'rewards/format_reward_func/std': 0.10862429738044739, 'reward': 0.98125, 'reward_std': 0.7298558473587036, 'frac_reward_zero_std': 0.1, 'kl': 0.0006557782506206422, 'entropy': 0.6501912370324134, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.2}
{'loss': 0.0, 'grad_norm': 0.613510012626648, 'learning_rate': 4.260869565217392e-06, 'num_tokens': 198380.0, 'completions/mean_length': 129.7875, 'completions/min_length': 71.4, 'completions/max_length': 224.4, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 129.7875, 'completions/min_terminated_length': 71.4, 'completions/max_terminated_length': 224.4, 'rewards/correctness_reward_func/mean': 0.7, 'rewards/correctness_reward_func/std': 0.813975739479065, 'rewards/format_reward_func/mean': 0.4625, 'rewards/format_reward_func/std': 0.1341565042734146, 'reward': 1.1625, 'reward_std': 0.6161532521247863, 'frac_reward_zero_std': 0.2, 'kl': 0.0005021469668008649, 'entropy': 0.5046733995899558, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.22}
