[34m[1mwandb[0m: Detected [huggingface_hub.inference, openai] in use.
[34m[1mwandb[0m: Use W&B Weave for improved LLM call tracing. Install Weave with `pip install weave` then add `import weave` to the top of your script.
[34m[1mwandb[0m: For more information, check out the docs at: https://weave-docs.wandb.ai/
                                         
{'loss': 0.0, 'grad_norm': 0.8383814692497253, 'learning_rate': 5.000000000000001e-07, 'num_tokens': 21593.0, 'completions/mean_length': 166.0125, 'completions/min_length': 90.4, 'completions/max_length': 310.8, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 166.0125, 'completions/min_terminated_length': 90.4, 'completions/max_terminated_length': 310.8, 'rewards/correctness_reward_func/mean': 0.45, 'rewards/correctness_reward_func/std': 0.2612451553344727, 'rewards/format_reward_func/mean': 0.45625, 'rewards/format_reward_func/std': 0.10387786626815795, 'reward': 0.90625, 'reward_std': 0.31830228865146637, 'frac_reward_zero_std': 0.3, 'kl': 0.0003359658752742689, 'entropy': 0.5712090840563178, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.02}
{'loss': 0.0, 'grad_norm': 0.9602723717689514, 'learning_rate': 1.125e-06, 'num_tokens': 38316.0, 'completions/mean_length': 120.1375, 'completions/min_length': 49.2, 'completions/max_length': 196.8, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 120.1375, 'completions/min_terminated_length': 49.2, 'completions/max_terminated_length': 196.8, 'rewards/correctness_reward_func/mean': 0.6675000071525574, 'rewards/correctness_reward_func/std': 0.7471474409103394, 'rewards/format_reward_func/mean': 0.4625, 'rewards/format_reward_func/std': 0.09946779310703277, 'reward': 1.1300000071525573, 'reward_std': 0.7303865313529968, 'frac_reward_zero_std': 0.2, 'kl': 0.0006190177716234758, 'entropy': 0.5147179653868079, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.04}
{'loss': 0.0001, 'grad_norm': 0.9873288869857788, 'learning_rate': 1.75e-06, 'num_tokens': 56723.0, 'completions/mean_length': 140.3875, 'completions/min_length': 65.0, 'completions/max_length': 354.4, 'completions/clipped_ratio': 0.025, 'completions/mean_terminated_length': 130.88500213623047, 'completions/min_terminated_length': 65.0, 'completions/max_terminated_length': 255.8, 'rewards/correctness_reward_func/mean': 0.4475000023841858, 'rewards/correctness_reward_func/std': 0.7793683886528016, 'rewards/format_reward_func/mean': 0.4625, 'rewards/format_reward_func/std': 0.11831300854682922, 'reward': 0.9099999904632569, 'reward_std': 0.6764902353286744, 'frac_reward_zero_std': 0.1, 'kl': 0.0006626255415540072, 'entropy': 0.6376586407423019, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.06}
{'loss': 0.0, 'grad_norm': 0.791901707649231, 'learning_rate': 2.375e-06, 'num_tokens': 74132.0, 'completions/mean_length': 125.9125, 'completions/min_length': 53.6, 'completions/max_length': 325.4, 'completions/clipped_ratio': 0.0125, 'completions/mean_terminated_length': 121.38000183105468, 'completions/min_terminated_length': 53.6, 'completions/max_terminated_length': 309.0, 'rewards/correctness_reward_func/mean': 0.4474999964237213, 'rewards/correctness_reward_func/std': 0.6978339433670044, 'rewards/format_reward_func/mean': 0.475, 'rewards/format_reward_func/std': 0.06531128883361817, 'reward': 0.9224999904632568, 'reward_std': 0.4657777905464172, 'frac_reward_zero_std': 0.4, 'kl': 0.0006165626744405017, 'entropy': 0.6143126834183932, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.08}
{'loss': 0.0001, 'grad_norm': 0.7313323020935059, 'learning_rate': 3e-06, 'num_tokens': 92206.0, 'completions/mean_length': 132.225, 'completions/min_length': 68.2, 'completions/max_length': 268.4, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 132.225, 'completions/min_terminated_length': 68.2, 'completions/max_terminated_length': 268.4, 'rewards/correctness_reward_func/mean': 0.5462500095367432, 'rewards/correctness_reward_func/std': 0.7513082981109619, 'rewards/format_reward_func/mean': 0.4875, 'rewards/format_reward_func/std': 0.05, 'reward': 1.0337500095367431, 'reward_std': 0.6929732486605644, 'frac_reward_zero_std': 0.2, 'kl': 0.000632338854666159, 'entropy': 0.5638455828651786, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.1}
{'loss': 0.0001, 'grad_norm': 0.008889339864253998, 'learning_rate': 3.625e-06, 'num_tokens': 109770.0, 'completions/mean_length': 120.35, 'completions/min_length': 69.8, 'completions/max_length': 222.2, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 120.35, 'completions/min_terminated_length': 69.8, 'completions/max_terminated_length': 222.2, 'rewards/correctness_reward_func/mean': 0.22000000178813933, 'rewards/correctness_reward_func/std': 0.5585002183914185, 'rewards/format_reward_func/mean': 0.49375, 'rewards/format_reward_func/std': 0.025, 'reward': 0.7137499928474427, 'reward_std': 0.39051332473754885, 'frac_reward_zero_std': 0.5, 'kl': 0.0006388885697333535, 'entropy': 0.6226950611919164, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.12}
{'loss': 0.0, 'grad_norm': 0.8129113912582397, 'learning_rate': 4.25e-06, 'num_tokens': 128472.0, 'completions/mean_length': 143.875, 'completions/min_length': 56.4, 'completions/max_length': 291.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 143.875, 'completions/min_terminated_length': 56.4, 'completions/max_terminated_length': 291.0, 'rewards/correctness_reward_func/mean': 0.868749988079071, 'rewards/correctness_reward_func/std': 0.9019263505935669, 'rewards/format_reward_func/mean': 0.4625, 'rewards/format_reward_func/std': 0.11531128883361816, 'reward': 1.3312499880790711, 'reward_std': 0.7309007048606873, 'frac_reward_zero_std': 0.1, 'kl': 0.0004706007275558477, 'entropy': 0.4688975835219026, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.14}
{'loss': 0.0, 'grad_norm': 0.3557036221027374, 'learning_rate': 4.875e-06, 'num_tokens': 146273.0, 'completions/mean_length': 131.1125, 'completions/min_length': 54.0, 'completions/max_length': 294.8, 'completions/clipped_ratio': 0.0125, 'completions/mean_terminated_length': 126.34833374023438, 'completions/min_terminated_length': 54.0, 'completions/max_terminated_length': 272.4, 'rewards/correctness_reward_func/mean': 0.42249999940395355, 'rewards/correctness_reward_func/std': 0.7246705532073975, 'rewards/format_reward_func/mean': 0.48125, 'rewards/format_reward_func/std': 0.05915650427341461, 'reward': 0.9037500023841858, 'reward_std': 0.35678905099630354, 'frac_reward_zero_std': 0.5, 'kl': 0.0006077105915210268, 'entropy': 0.5734615966677665, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.16}
{'loss': 0.0, 'grad_norm': 0.8913068175315857, 'learning_rate': 4.9970805670808174e-06, 'num_tokens': 163289.0, 'completions/mean_length': 125.2, 'completions/min_length': 63.0, 'completions/max_length': 254.4, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 125.2, 'completions/min_terminated_length': 63.0, 'completions/max_terminated_length': 254.4, 'rewards/correctness_reward_func/mean': 0.2949999988079071, 'rewards/correctness_reward_func/std': 0.6727305889129639, 'rewards/format_reward_func/mean': 0.4625, 'rewards/format_reward_func/std': 0.10246951282024383, 'reward': 0.7575000047683715, 'reward_std': 0.49926764965057374, 'frac_reward_zero_std': 0.2, 'kl': 0.0006106677110437886, 'entropy': 0.6450004424899817, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.18}
{'loss': 0.0, 'grad_norm': 0.5030434131622314, 'learning_rate': 4.985232055833314e-06, 'num_tokens': 183000.0, 'completions/mean_length': 149.3875, 'completions/min_length': 69.4, 'completions/max_length': 312.4, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 149.3875, 'completions/min_terminated_length': 69.4, 'completions/max_terminated_length': 312.4, 'rewards/correctness_reward_func/mean': 0.5912500023841858, 'rewards/correctness_reward_func/std': 0.9086901426315308, 'rewards/format_reward_func/mean': 0.4625, 'rewards/format_reward_func/std': 0.11831300854682922, 'reward': 1.0537500023841857, 'reward_std': 0.6376029253005981, 'frac_reward_zero_std': 0.1, 'kl': 0.0006178258912768797, 'entropy': 0.6618382900953292, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.2}
{'loss': 0.0, 'grad_norm': 0.9569699764251709, 'learning_rate': 4.964315202329127e-06, 'num_tokens': 200364.0, 'completions/mean_length': 123.65, 'completions/min_length': 71.4, 'completions/max_length': 234.2, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 123.65, 'completions/min_terminated_length': 71.4, 'completions/max_terminated_length': 234.2, 'rewards/correctness_reward_func/mean': 0.7950000047683716, 'rewards/correctness_reward_func/std': 0.8600881099700928, 'rewards/format_reward_func/mean': 0.48125, 'rewards/format_reward_func/std': 0.075, 'reward': 1.2762500047683716, 'reward_std': 0.864164400100708, 'frac_reward_zero_std': 0.0, 'kl': 0.0004919504791359941, 'entropy': 0.4815484058111906, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.22}
